url_path,views_total,views_unique
/sayantikabanik/MasterClass,65,17
/sayantikabanik/MasterClass/tree/main/planning_template,15,7
/sayantikabanik/MasterClass/tree/main/design_tools,10,6
/sayantikabanik/MasterClass/edit/main/README.md,10,1
/sayantikabanik/MasterClass/blob/main/planning_template/Tracker_goals_efforts_finance.xlsx,9,6
/sayantikabanik/MasterClass/commit/f0a0e702a8ac228d2b48459619a1c3c716b589e2,9,2
/sayantikabanik/MasterClass/blob/main/README.md,9,1
/sayantikabanik/MasterClass/blob/main/Template_%20Tracker%20for%20goals%20and%20more.xlsx,7,1
/sayantikabanik/MasterClass/issues,6,5
/sayantikabanik/MasterClass/blob/main/design_tools/InclusiveDesignForCognitionGuidebook.pdf,5,5
