url_path,views_total,views_unique
/sayantikabanik/MasterClass,8,8
/sayantikabanik/MasterClass/blob/main/thinking_design/examples_from_life.md,4,1
/sayantikabanik/MasterClass/blob/main/README.md,1,1
/sayantikabanik/MasterClass/edit/main/thinking_design/examples_from_life.md,1,1
/sayantikabanik/MasterClass/tree/main/thinking_design,1,1
