time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,59,21,0,0
2026-04-26 00:00:00+00:00,27,11,0,0
2026-04-27 00:00:00+00:00,26,9,0,0
2026-04-28 00:00:00+00:00,38,11,0,0
2026-04-29 00:00:00+00:00,34,12,0,0
2026-04-30 00:00:00+00:00,27,8,0,0
2026-05-01 00:00:00+00:00,19,7,0,0
2026-05-02 00:00:00+00:00,39,10,0,0
2026-05-03 00:00:00+00:00,42,13,0,0
2026-05-04 00:00:00+00:00,30,9,0,0
2026-05-05 00:00:00+00:00,29,8,0,0
2026-05-06 00:00:00+00:00,13,6,0,0
2026-05-07 00:00:00+00:00,25,10,0,0
2026-05-08 00:00:00+00:00,6,4,0,0
